seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
4,0,1,0,0,0,0,1
32,0,0,1,0,1,0,2
62,1,1,1,1,1,1,6
95,0,1,1,1,1,1,5
102,1,1,1,1,1,1,6
107,0,1,1,1,1,1,5
128,0,1,1,1,1,1,5
194,1,1,1,1,1,1,6
204,0,0,1,0,1,1,3
208,1,1,1,1,1,1,6
213,0,1,1,1,1,1,5
295,0,1,0,0,0,0,1
361,0,0,1,0,1,0,2
425,0,1,0,1,0,1,3
457,0,1,0,0,0,0,1
526,0,1,1,1,1,1,5
542,0,1,1,1,1,1,5
548,0,1,0,0,0,0,1
585,0,1,0,0,0,0,1
801,0,1,1,0,1,1,4
845,0,1,0,0,0,0,1
966,0,1,0,0,0,0,1
