seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,1,1,1,1,5
3,1,1,1,0,1,0,4
4,1,1,0,0,0,0,2
32,0,0,1,1,1,1,4
35,0,1,1,1,1,1,5
40,1,1,1,1,1,1,6
42,1,1,1,1,1,1,6
62,1,0,0,0,0,0,1
63,0,1,0,0,0,0,1
92,1,1,0,0,0,0,2
95,1,1,0,0,0,0,2
112,1,0,1,1,1,1,5
137,1,1,1,1,1,1,6
158,1,0,0,0,0,0,1
162,1,1,1,1,1,1,6
180,1,1,1,1,1,1,6
188,0,0,1,0,1,0,2
200,1,1,0,0,0,0,2
205,1,1,1,1,1,1,6
213,0,1,0,1,0,0,2
261,1,1,1,1,1,1,6
286,1,0,0,0,0,0,1
295,1,1,0,0,0,0,2
298,1,1,0,1,0,1,4
302,1,0,0,0,0,0,1
318,1,1,1,1,1,1,6
381,1,0,0,0,0,0,1
383,0,1,1,1,1,1,5
395,0,1,0,0,0,0,1
457,0,1,1,1,1,1,5
471,0,1,0,0,0,0,1
526,0,1,1,1,1,1,5
528,1,1,1,1,1,1,6
561,1,0,1,1,1,1,5
571,1,1,1,1,1,1,6
585,1,1,1,1,1,1,6
602,1,1,0,0,0,0,2
616,1,1,0,0,0,0,2
632,0,0,0,1,0,0,1
695,1,1,1,0,1,0,4
810,0,1,0,1,0,1,3
834,1,0,1,1,1,1,5
835,1,0,0,0,0,0,1
845,0,1,0,1,0,1,3
851,1,1,1,1,1,1,6
860,0,0,1,1,1,1,4
888,1,1,1,1,1,1,6
891,1,1,1,1,1,1,6
914,1,0,0,0,0,0,1
925,0,1,0,1,0,1,3
929,1,1,0,0,0,0,2
935,1,1,0,0,0,0,2
942,1,1,1,1,1,1,6
951,1,1,1,1,1,1,6
955,0,1,0,0,0,0,1
973,1,1,1,1,1,1,6
977,0,1,0,1,0,1,3
