seed,ancestors_multiset_precision_failures,ancestors_multiset_f1_failures,ancestors_unique_precision_failures,ancestors_unique_f1_failures,ancestors_unique_restricted_precision_failures,ancestors_unique_restricted_f1_failures,total_failures
2,0,1,0,0,0,0,1
105,0,1,0,0,0,0,1
112,0,1,0,0,0,0,1
137,0,1,0,1,0,1,3
204,0,1,0,0,0,0,1
208,0,1,0,0,0,0,1
213,1,1,1,1,1,1,6
274,1,1,1,1,1,1,6
285,0,1,0,1,0,1,3
295,0,1,0,0,0,0,1
411,0,1,1,1,1,1,5
498,0,1,0,1,0,1,3
526,0,0,1,0,1,1,3
542,1,1,1,1,1,1,6
569,0,1,0,0,0,0,1
571,0,1,0,1,0,0,2
845,0,1,0,1,0,1,3
891,0,1,1,1,1,1,5
